case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-00839,OFF-00261,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Udupi,Manipal,Early morning (4-7 AM),Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; early morning (4-7 am),2024-07-04,Linked to known offender record,56+,M,4,Repeat,Escalating frequency over last 6 months
CASE-00891,OFF-00282,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Davanagere,Shamanur Road area,Early morning (4-7 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; early morning (4-7 am),2023-01-22,Linked to known offender record,56+,M,4,Repeat,Single recorded case - insufficient pattern history
CASE-00007,OFF-00004,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Bengaluru Rural,Nelamangala town,Evening rush (6-8 PM),Window grille cutting,Window grille cutting; target: Ground-floor apartment; evening rush (6-8 pm),2025-11-25,Linked to known offender record,56+,F,2,Repeat,Single recorded case - insufficient pattern history
CASE-01996,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Mandya,Ashok Nagar,Evening rush (6-8 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; evening rush (6-8 pm),2023-01-23,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00105,OFF-00031,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Udupi,Kunjibettu,Evening rush (6-8 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; evening rush (6-8 pm)",2023-03-11,Linked to known offender record,18-25,M,5,Repeat,Escalating frequency over last 6 months
CASE-00037,OFF-00012,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Kolar,Old Bus Stand area,Late night (11 PM-2 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; late night (11 pm-2 am),2025-04-07,Linked to known offender record,18-25,F,6,Repeat,Alternates between two known methods
CASE-00534,OFF-00168,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Chikkamagaluru,MG Road area,Early morning (4-7 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; early morning (4-7 am)",2024-11-14,Linked to known offender record,56+,F,2,Repeat,Long gap then resurgence with same MO
CASE-00528,OFF-00166,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Bidar,Chidri,Early morning (4-7 AM),"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; early morning (4-7 am)",2023-08-22,Linked to known offender record,56+,M,4,Repeat,Long gap then resurgence with same MO
CASE-00719,OFF-00227,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Vijayapura,Athani Road area,Weekday mornings,Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; weekday mornings,2023-02-02,Linked to known offender record,56+,M,3,Repeat,Long gap then resurgence with same MO
CASE-01683,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Mysuru,Saraswathipuram,Weekday mornings,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; weekday mornings",2025-08-18,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01934,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Koppal,Gangavathi Road area,Midday (12-3 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; midday (12-3 pm)",2025-03-31,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00992,OFF-00306,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bengaluru Rural,Devanahalli town,Early morning (4-7 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; early morning (4-7 am)",2023-01-23,Linked to known offender record,46-55,F,3,Repeat,Consistent MO across all recorded cases
CASE-01943,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bidar,New Bidar,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2024-06-21,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01611,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Koppal,Old Town,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; midday (12-3 pm),2024-08-15,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00488,OFF-00155,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Belagavi,Shahapur,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2024-09-25,Linked to known offender record,36-45,F,6,Repeat,Consistent MO across all recorded cases
CASE-00617,OFF-00194,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mysuru,Vijayanagar,Late night (11 PM-2 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; late night (11 pm-2 am),2025-01-06,Linked to known offender record,26-35,M,1,First recorded instance,Long gap then resurgence with same MO
